fips,Ratio
49001,0.754907718
37061,0.552197044
37017,0.403946287
31171,0.372467331
37163,0.34586229
37141,0.345711142
40063,0.280939323
28025,0.268424809
19183,0.240576573
37133,0.182110454
37079,0.180253555
37153,0.164301703
5061,0.161917846
37103,0.145103627
37093,0.142881975
37191,0.129890699
29211,0.129083333
42119,0.123657726
19167,0.121251611
37107,0.120702513
29129,0.116393235
42087,0.112352841
42099,0.111612006
40045,0.11046005
19119,0.10902945
42117,0.107918597
26107,0.107490044
42057,0.102393437
37047,0.101953991
19083,0.095511869
29029,0.091682176
37007,0.089290614
19147,0.087605725
37051,0.086959188
19115,0.086067397
37155,0.083867457
27013,0.083624697
19079,0.081571713
19149,0.081554445
37147,0.079209229
18025,0.078681258
19027,0.076381251
29131,0.075675362
29171,0.075259144
27091,0.075126716
19143,0.073962227
19089,0.072819467
19039,0.072228204
42109,0.070097153
29027,0.069390583
51029,0.069049887
18075,0.066584615
31005,0.065852976
27103,0.065460914
37019,0.065281039
27133,0.065115519
29169,0.064565364
19021,0.064378867
27117,0.061719211
19123,0.061481102
39003,0.060745638
19069,0.059912045
18103,0.059574585
19141,0.057983918
27105,0.056774069
39037,0.05670491
31141,0.054496969
27083,0.053908418
19051,0.052828473
29075,0.052784076
40059,0.051466835
29061,0.051360917
26005,0.051314466
20131,0.049989068
37131,0.049895266
18101,0.04967094
39107,0.048862333
19177,0.048379611
17131,0.048348143
29141,0.047231182
37185,0.047160101
45033,0.046892577
19197,0.046871839
18015,0.046628507
18179,0.04641472
37085,0.046371092
42015,0.046212035
47079,0.046106632
19163,0.045782474
18001,0.045661293
42071,0.045335315
19047,0.044391345
19013,0.043921812
19055,0.043564523
28017,0.042726716
37065,0.042178506
27033,0.042088813
19161,0.042073167
19009,0.041824214
29199,0.041037219
40133,0.040970315
19043,0.040688927
18169,0.040415826
19037,0.04031442
39031,0.040166669
37101,0.039702371
27161,0.039142568
18181,0.038690846
29205,0.038449381
19025,0.038151845
18031,0.037791137
19019,0.037637307
19065,0.037632074
42075,0.037506859
37049,0.037258664
27165,0.036996248
42067,0.036793023
21177,0.035962288
39149,0.035887085
19023,0.03584342
29227,0.035837333
19081,0.035743433
19109,0.035660811
19035,0.03560131
19159,0.03496624
27039,0.034718961
19151,0.034468148
27131,0.033984095
42081,0.033857767
48295,0.033829924
19031,0.033117864
29011,0.032347823
26077,0.032072213
19017,0.032049805
19107,0.031863153
17149,0.031719601
27127,0.031583903
18183,0.031478301
29217,0.031447606
27015,0.031280327
29197,0.030791951
19117,0.030273771
27149,0.030152676
26133,0.030102371
19063,0.030013591
19053,0.029810253
46035,0.029628384
19005,0.029410035
19067,0.029309686
19189,0.028908181
19131,0.028872008
40107,0.028633367
18135,0.028428882
17079,0.028382773
17037,0.028374622
19073,0.028265994
26027,0.027592663
26127,0.027482751
42009,0.027430782
39137,0.027415627
39011,0.027413338
17203,0.027275885
19175,0.027100612
27043,0.026815738
27063,0.026032778
19075,0.026008127
19103,0.025964914
18073,0.025922173
27173,0.025465563
37091,0.025353021
19077,0.025299534
18059,0.025288424
39135,0.025279243
39101,0.025236451
29159,0.025026899
19041,0.024687567
17049,0.024422537
27081,0.024330355
17035,0.024126901
42037,0.024071372
31035,0.023806698
31039,0.022415707
27079,0.022343614
28105,0.02231773
42043,0.022249751
39139,0.02204056
27101,0.021996926
40015,0.021969924
39161,0.021902472
27047,0.021889245
42055,0.021759165
19113,0.021718952
48385,0.021468762
27099,0.021409207
19165,0.021235333
18085,0.021122893
18133,0.02108649
42061,0.020971948
19029,0.020903063
19099,0.02073091
19179,0.020540777
39033,0.020433453
37127,0.020369042
37073,0.020126232
29195,0.020119509
19127,0.020053699
51083,0.01967088
18123,0.019597571
29079,0.019568381
26055,0.019556036
46043,0.019502171
39065,0.019277368
47125,0.01908487
19091,0.018974833
27129,0.018912212
17001,0.018814596
19095,0.018712145
29125,0.018454843
19111,0.018336835
27147,0.018128774
17025,0.018061463
20201,0.018031931
27073,0.017848412
17067,0.017836373
18023,0.017779784
19101,0.017759933
39089,0.017746062
5057,0.017674009
29137,0.017668789
26139,0.017637082
18069,0.017539613
18039,0.017493738
46023,0.017355727
42041,0.017233239
47183,0.017118269
18159,0.016896972
26023,0.016866899
51093,0.016833698
51175,0.016791217
31107,0.016777777
19191,0.016759053
19015,0.016472049
19171,0.016470158
27045,0.016277447
27097,0.016182
19087,0.016097363
19121,0.015985446
19187,0.015927386
18005,0.015792248
29007,0.015751257
19003,0.015659044
46011,0.015597334
39125,0.015440099
17189,0.015424321
40079,0.015403123
17017,0.015364886
5029,0.015334003
42011,0.015188967
39063,0.015088721
19173,0.015079704
18131,0.015017917
17177,0.014996877
46079,0.014969045
27067,0.014943548
29071,0.014852501
19139,0.014815977
42133,0.014809029
17135,0.014787601
19061,0.014761654
17009,0.014680614
17023,0.014542108
37069,0.014456953
46061,0.014380313
46067,0.014318574
18009,0.014055854
26105,0.014004692
46025,0.013838582
17165,0.013737183
17169,0.013716721
20061,0.013690687
17105,0.013681115
18139,0.013645435
39083,0.013498198
27169,0.013439862
17191,0.013405387
37083,0.013331318
19033,0.013132581
31037,0.013124168
31167,0.012881127
45027,0.012864189
19169,0.01282517
18111,0.01273916
39127,0.0127313
29103,0.012681611
29083,0.012640175
17109,0.012426278
19059,0.012295421
31003,0.012260133
39021,0.012153337
19011,0.012068423
39023,0.012043432
29175,0.011788588
26067,0.01178225
19157,0.011699619
55043,0.011659446
19045,0.011576703
31125,0.011551732
18113,0.011543797
18071,0.011515899
1119,0.011504729
20027,0.011434238
39175,0.011405958
46101,0.01136638
31047,0.011254987
18157,0.011212843
19057,0.011190946
17047,0.011151908
37171,0.011105096
27049,0.01108869
39147,0.01106901
17159,0.011033988
21093,0.011005034
17101,0.010947697
39045,0.01087702
27009,0.010848342
46089,0.010839156
19097,0.010805455
18087,0.010697674
26059,0.010663599
5133,0.010607005
27121,0.010544448
31157,0.010434322
40077,0.010410679
17015,0.010367685
17141,0.010320715
30013,0.010051858
18141,0.009979898
37151,0.009954392
27143,0.009860949
42097,0.009838068
31027,0.009822517
5109,0.009768744
19093,0.009741821
17007,0.009732956
17095,0.009692348
18017,0.009691859
19001,0.009606405
29183,0.009554282
27157,0.009523927
29117,0.009507248
18037,0.009506304
17161,0.009385112
39041,0.009323132
27011,0.009315683
46087,0.00926914
5115,0.009240276
39169,0.009237563
29163,0.009210219
17113,0.009120756
21105,0.009120029
17057,0.009092887
17027,0.009056901
19105,0.009009309
31023,0.008959838
31089,0.008910532
17117,0.008905205
29037,0.008902785
39027,0.008787139
42111,0.008785328
46125,0.00865258
29041,0.008591892
27059,0.008555128
46049,0.00845448
31051,0.008220933
27055,0.008148601
19155,0.008064942
31131,0.00803541
18137,0.007963365
30107,0.007949413
46083,0.007914287
29121,0.007886824
55111,0.007810093
21227,0.007760355
17053,0.007666069
18003,0.007655371
26057,0.007631746
17195,0.00754887
27023,0.0074285
29127,0.00741042
27019,0.007387608
17107,0.007376183
46091,0.007333484
26021,0.007330319
53031,0.00730343
39017,0.007294803
39077,0.007281949
17055,0.007251363
39117,0.007210202
39005,0.007191413
29015,0.007069357
42001,0.006994143
40051,0.006958859
26117,0.006914558
19195,0.006899792
18047,0.006882178
6105,0.006871736
18065,0.006866038
21083,0.006825011
20147,0.006809004
45051,0.006786793
18053,0.006771952
18063,0.006764386
31143,0.006733565
29013,0.006714048
19125,0.006551906
39171,0.006498914
29151,0.006476773
54015,0.006457691
